City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
52,Ambon,-3.6954,128.1814,77.14,94,40,4.61,ID,moderate rain,2022-07-31 02:32:55
53,Anadyr,64.75,177.4833,59.5,47,0,6.71,RU,clear sky,2022-07-31 02:32:55
54,Longyearbyen,78.2186,15.6401,48.04,87,75,11.5,SJ,broken clouds,2022-07-31 02:32:56
55,Ouargaye,11.5033,0.0572,79.0,74,100,7.34,BF,overcast clouds,2022-07-31 02:32:56
56,Atuona,-9.8,-139.0333,76.75,77,12,14.45,PF,few clouds,2022-07-31 02:24:06
57,Sao Jose Da Coroa Grande,-8.8978,-35.1478,75.31,87,100,7.54,BR,overcast clouds,2022-07-31 02:32:57
58,Sterling,39.0062,-77.4286,77.52,78,100,5.01,US,overcast clouds,2022-07-31 02:32:57
59,Novikovo,51.1537,37.8879,64.56,66,98,4.7,RU,overcast clouds,2022-07-31 02:32:58
60,Isangel,-19.55,169.2667,74.07,83,100,6.38,VU,light rain,2022-07-31 02:28:03
61,Ahipara,-35.1667,173.1667,56.21,60,35,19.55,NZ,scattered clouds,2022-07-31 02:32:59
62,Providencia,28.7167,-111.5833,91.2,62,6,10.11,MX,clear sky,2022-07-31 02:32:59
63,Trincomalee,8.5711,81.2335,80.62,79,100,10.07,LK,light rain,2022-07-31 02:32:59
64,Ribeira Grande,38.5167,-28.7,73.81,70,15,1.32,PT,few clouds,2022-07-31 02:24:12
65,Georgetown,5.4112,100.3354,85.95,85,20,3.44,MY,few clouds,2022-07-31 02:32:46
66,Quthing,-30.4,27.7003,40.64,57,99,1.61,LS,overcast clouds,2022-07-31 02:33:00
67,Arya,33.6,73.0667,76.23,87,100,1.01,PK,overcast clouds,2022-07-31 02:33:01
68,Arraial Do Cabo,-22.9661,-42.0278,66.76,67,2,13.94,BR,clear sky,2022-07-31 02:31:49
69,Ponta Do Sol,32.6667,-17.1,71.71,82,10,6.76,PT,clear sky,2022-07-31 02:24:01
70,Port Lincoln,-34.7333,135.8667,56.1,70,45,21.97,AU,light rain,2022-07-31 02:26:27
71,Khatanga,71.9667,102.5,48.51,77,100,11.81,RU,light rain,2022-07-31 02:33:02
72,Bambous Virieux,-20.3428,57.7575,70.21,73,40,17.27,MU,scattered clouds,2022-07-31 02:30:56
73,Tuktoyaktuk,69.4541,-133.0374,46.4,66,40,6.91,CA,scattered clouds,2022-07-31 02:24:08
74,Beloha,-25.1667,45.05,63.57,82,5,3.09,MG,clear sky,2022-07-31 02:33:03
75,Inverell,-29.7833,151.1167,65.66,54,100,7.0,AU,overcast clouds,2022-07-31 02:33:03
