City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
421,Dalbandin,PK,86.59,overcast clouds,28.8947,64.4101,Sanjrani House
422,Yumen,CN,87.42,overcast clouds,40.2833,97.2,
425,Sola,VU,80.19,overcast clouds,-13.8833,167.55,Leumerus Bungalows
426,Mecca,SA,85.57,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
427,Nichinan,JP,83.88,broken clouds,31.6,131.3667,Guest House Aki
429,Seoul,KR,83.59,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
430,Belle Fourche,US,87.31,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
431,Neyyattinkara,IN,82.26,scattered clouds,8.4,77.0833,P.W.D. Rest House
432,Waling,NP,75.11,overcast clouds,27.9833,83.7667,Venus Hotel
433,Weligama,LK,80.62,overcast clouds,5.9667,80.4167,Weligama Bay Resort
436,Methoni,GR,79.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
441,Price,US,79.86,few clouds,39.5994,-110.8107,National 9 - Price River Inn
450,Rexburg,US,90.91,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
451,Eirunepe,BR,77.72,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
456,Lang Son,VN,88.66,overcast clouds,21.8333,106.7333,Khai Nga Hotel
459,Mahabad,IR,75.0,scattered clouds,36.7631,45.7222,Afshar Hotel
461,Zachary,US,77.7,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
464,Snyder,US,93.54,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
471,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
472,Panama City,PA,82.35,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
474,Rapar,IN,82.26,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
476,Tateyama,JP,84.74,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
479,Luganville,VU,81.57,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
480,Caibarien,CU,79.92,overcast clouds,22.5206,-79.4669,La Nena
481,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
483,Nago,JP,82.45,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
490,Mamit,IN,76.03,mist,23.9333,92.4833,R Lalvuani Building
491,Tahta,EG,81.39,clear sky,26.7693,31.5021,فندق الزيات
493,Polahongon,PH,85.01,overcast clouds,10.5288,124.9694,
494,Meulaboh,ID,83.05,broken clouds,4.1363,96.1285,Kost Pria
498,Minab,IR,86.32,mist,27.1467,57.0801,Bam campground
499,Marawi,PH,76.06,moderate rain,7.9986,124.2928,Derogongan Residence
503,Dubti,ET,81.63,overcast clouds,11.7361,41.0853,degu Shiferaw
506,Rio Tuba,PH,82.44,overcast clouds,8.5061,117.4317,Triple J Lodging House
507,Amuntai,ID,78.22,light rain,-2.4177,115.2494,Hotel Balqis
513,Shimanovsk,RU,84.81,overcast clouds,52.0,127.7,Гостиница Домашняя
515,Lashio,MM,77.4,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
520,Bontang,ID,75.94,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
522,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
525,Sanary-Sur-Mer,FR,77.88,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
533,Kaliganj,BD,87.49,moderate rain,23.4095,89.1402,অয়ন বিশ্বাস হাউজ
544,Kirakira,SB,84.45,few clouds,-10.4544,161.9205,SanBiz Lodge
545,Nayagarh,IN,85.96,overcast clouds,20.1333,85.1,Devjani autospa
546,Shelbyville,US,75.56,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
551,Ixtapa,MX,77.27,overcast clouds,20.7,-105.2,hotel la terminal
552,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
554,Shar,KZ,75.99,broken clouds,49.5886,81.0453,
555,Mangrol,IN,81.77,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
556,Key West,US,87.8,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
557,Bemidji,US,77.09,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
558,Hami,CN,91.87,overcast clouds,42.8,93.45,Laoyutang Resort
559,Keningau,MY,87.85,light rain,5.3378,116.1602,Sabindo Hotel
561,Sur,OM,84.94,broken clouds,22.5667,59.5289,Sur Plaza Hotel
564,Balabac,PH,82.92,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
566,Mayo,US,80.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
567,Bozeman,US,89.02,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
569,Gorontalo,ID,83.75,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
572,Thinadhoo,MV,78.53,heavy intensity rain,0.5333,72.9333,
573,Shenjiamen,CN,84.61,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
574,Nerchinsk,RU,76.03,clear sky,51.9833,116.5833,Transbaikal N. Hotel
576,Carutapera,BR,76.64,broken clouds,-1.195,-46.02,Lidera
578,Kulhudhuffushi,MV,80.6,very heavy rain,6.6221,73.07,Haajy Guest House 1
580,Humaita,BR,75.94,clear sky,-7.5061,-63.0208,Corrêa Hotel
589,Nagram,IN,82.45,overcast clouds,26.6167,81.1333,Ichchha Khera
591,Trairi,BR,76.69,overcast clouds,-3.2778,-39.2689,janelas do mar
594,Churapcha,RU,83.19,scattered clouds,62.0025,132.4325,"""Tusku"""
596,Berdigestyakh,RU,82.24,scattered clouds,62.0989,126.6992,
598,Cotonou,BJ,76.98,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
599,Puerto Escondido,MX,80.46,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
601,Lamar,US,80.51,clear sky,33.6668,-95.5836,Kings Inn Paris TX
602,Sao Felix Do Xingu,BR,77.81,broken clouds,-6.6447,-51.995,Rio Xingu Camping
606,Sri Aman,MY,77.09,light rain,1.2376,111.4621,Seri Simanggang Hotel
613,Havelock,US,82.35,scattered clouds,34.8791,-76.9013,Sherwood Motel
614,Tifton,US,80.31,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
616,Phangnga,TH,86.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
619,Soc Trang,VN,87.04,overcast clouds,9.6033,105.98,Phu Quy Hotel
620,Kalmunai,LK,81.72,overcast clouds,7.4167,81.8167,VS Villa
630,Teya,RU,78.3,scattered clouds,60.3778,92.6267,
631,Katherine,AU,88.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
633,Nishihara,JP,85.28,shower rain,26.1842,127.7558,Minshuku Agaihama
641,Cairns,AU,80.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
642,Carmen,MX,79.05,broken clouds,18.6333,-91.8333,Hotel Lossandes
644,Nyurba,RU,78.15,few clouds,63.2842,118.3319,"Гостиница ""Comfort"""
645,Kimbe,PG,91.72,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
651,Dryden,CA,75.49,few clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
653,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
654,Lorengau,PG,85.03,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
655,Zabaykalsk,RU,75.38,scattered clouds,49.6333,117.3167,Zheleznyy Mir
659,Nizwa,OM,82.36,overcast clouds,22.9333,57.5333,Orient Apartments
660,Murwara,IN,82.96,broken clouds,23.85,80.4,HOTEL BRIJWASI ROYAL
661,Virginia Beach,US,79.02,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
662,Billings,US,91.17,smoke,45.7833,-108.5007,Best Western Plus Clocktower Inn
664,Bambanglipuro,ID,81.37,overcast clouds,-7.95,110.2833,Puri Brata
668,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
670,Codajas,BR,76.42,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
671,Estelle,US,82.4,clear sky,29.8458,-90.1067,Ohio
676,Riohacha,CO,80.42,clear sky,11.5444,-72.9072,Hotel Taroa
677,Iralaya,HN,80.85,overcast clouds,15.0,-83.2333,Iglesia morava renovada
678,Chemal,RU,75.4,overcast clouds,51.4111,86.005,Guesthouse V Sosnovom Boru
685,Hailar,CN,78.53,broken clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
687,Jagdalpur,IN,80.73,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
688,Gat,IL,76.41,scattered clouds,31.61,34.7642,OlusHome
690,Lazaro Cardenas,MX,80.26,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
692,Bang Saphan,TH,85.68,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
696,Asyut,EG,77.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
